,POSTCODE,Total Population,Total Case Count,% Cases Over Age 18,% Cases Over Age 65,Total Cases Category,Total Vaccinated,Total      Vaccinated Category,Median Household Income
277,85929,7416,641,32.09,61.7,501-1000,2392,"1,001-5,000",46225
278,85931,186,1-10,28.5,30.17,1-10,61,"11-1,000",49821
279,85932,367,1-10,172.73,300,1-10,19,"11-1,000",-
280,85933,2697,258,52.68,77.17,101-500,1417,"1,001-5,000",38651
281,85934,246,38,84.44,208,11-100,152,"11-1,000",35263
282,85935,4665,350,38.2,64.99,101-500,1548,"1,001-5,000",60909
283,85936,4373,288,21.49,39.4,101-500,668,"11-1,000",48182
284,85937,8201,801,23.26,45.91,501-1000,1506,"1,001-5,000",44954
285,85938,2322,217,26.5,50.34,101-500,579,"11-1,000",58073
286,85939,4319,398,20.24,49.01,101-500,617,"11-1,000",44400
287,85940,1430,72,484.62,946.43,11-100,441,"11-1,000",58710
288,85942,56,1-10,28.21,81.82,1-10,22,"11-1,000",-
289,86001,45695,4438,41.56,79.08,Greater Than 1000,14469,"Greater Than 10,000",59536
290,86004,36260,4529,53.88,75.77,Greater Than 1000,16945,"Greater Than 10,000",69500
291,86015,312,109,60.96,42.19,101-500,398,"11-1,000",-
293,86017,880,90,71.78,95.87,11-100,474,"11-1,000",64761
294,86018,903,77,40.6,68.95,11-100,379,"11-1,000",72569
296,86021,6160,255,4.28,14.63,101-500,135,"11-1,000",58804
297,86022,1855,168,26.91,62.91,101-500,320,"11-1,000",40303
298,86023,2538,202,47.05,37.36,101-500,1159,"1,001-5,000",67521
299,86024,737,79,55.95,59.8,11-100,423,"11-1,000",80781
300,86025,5565,702,26.65,50.12,501-1000,1142,"1,001-5,000",46679
301,86029,77,110,38.4,51.02,101-500,96,"11-1,000",-
302,86032,1818,156,25.69,61.63,101-500,247,"11-1,000",64926
305,86036,400,1-10,2.99,11.11,1-10,1-10,1-10,48304
306,86038,57,1-10,36,38.24,1-10,45,"11-1,000",-
307,86040,10662,1537,62.16,84.74,Greater Than 1000,4121,"1,001-5,000",64066
312,86046,5695,578,28.89,48.78,501-1000,1794,"1,001-5,000",53797
313,86047,15330,2842,34.43,55.01,Greater Than 1000,3046,"1,001-5,000",37880
314,86052,313,1-10,20,0,1-10,1-10,1-10,-
316,86301,23087,2204,54.6,84.51,Greater Than 1000,11787,"Greater Than 10,000",53190
317,86303,17719,1199,49.33,69.33,Greater Than 1000,8256,"5,001-10,000",56085
318,86305,18876,1497,49.89,79.45,Greater Than 1000,9150,"5,001-10,000",70048
319,86314,39703,3508,34.64,67.06,Greater Than 1000,10897,"Greater Than 10,000",50783
320,86315,7626,629,47.78,91.42,501-1000,3643,"1,001-5,000",58940
321,86320,2024,104,43.19,63.6,101-500,390,"11-1,000",38571
322,86321,2128,190,29.76,29.84,101-500,478,"11-1,000",62019
323,86322,12107,1187,28.69,52.61,Greater Than 1000,3056,"1,001-5,000",43121
324,86323,16454,1100,30.79,51.09,Greater Than 1000,4755,"1,001-5,000",52152
325,86324,4271,387,44.39,67.01,101-500,1936,"1,001-5,000",49383
326,86325,5554,381,40.62,77.25,101-500,1993,"1,001-5,000",61938
327,86326,25294,2510,36.01,62.1,Greater Than 1000,7323,"5,001-10,000",46674
328,86327,9762,799,41.33,68.46,501-1000,4327,"1,001-5,000",55344
329,86329,1037,61,825,1350,11-100,264,"11-1,000",65656
330,86331,474,34,36.7,54.36,11-100,189,"11-1,000",52083
331,86332,1808,49,18.12,26.09,11-100,346,"11-1,000",38984
332,86333,7651,332,24.45,38.49,101-500,1428,"1,001-5,000",38700
333,86334,4913,284,21.72,41.64,101-500,968,"11-1,000",41445
334,86335,4624,383,28.44,51.29,101-500,1252,"1,001-5,000",40489
335,86336,11595,717,47.25,72.66,501-1000,5373,"5,001-10,000",60386
336,86337,1609,52,18.57,29.68,11-100,249,"11-1,000",34722
337,86338,377,22,26.74,43.09,11-100,138,"11-1,000",57500
338,86343,51,1-10,24.54,32.2,1-10,40,"11-1,000",-
339,86351,6552,392,54.18,73.55,101-500,3421,"1,001-5,000",59836
340,86401,25799,3012,32.71,59.76,Greater Than 1000,7219,"5,001-10,000",51711
341,86403,18104,2180,34.02,55.77,Greater Than 1000,5042,"5,001-10,000",50981
342,86404,17280,1930,37.85,65.06,Greater Than 1000,5968,"5,001-10,000",52669
343,86406,22802,2881,34.54,57.74,Greater Than 1000,7721,"5,001-10,000",56203
344,86409,28675,2490,26.06,46.09,Greater Than 1000,6044,"5,001-10,000",39756
345,86411,151,1-10,21.8,41.51,1-10,29,"11-1,000",35938
346,86413,13173,1285,22.87,36.47,Greater Than 1000,3251,"1,001-5,000",38292
347,86426,14928,1746,30.12,51.01,Greater Than 1000,3882,"1,001-5,000",50535
348,86429,7616,711,33.03,52.78,501-1000,2033,"1,001-5,000",46853
349,86432,3444,233,11.86,21.66,101-500,393,"11-1,000",34511
350,86433,43,1-10,13.14,63.16,1-10,18,"11-1,000",-
351,86434,1609,1-10,29.41,100,1-10,1-10,1-10,37688
353,86436,945,154,22.55,32.12,101-500,474,"11-1,000",28542
354,86437,119,1-10,6.21,9.59,1-10,11,"11-1,000",-
355,86438,752,51,31.4,50.98,11-100,211,"11-1,000",34213
356,86440,7028,1016,29.04,48.25,Greater Than 1000,1494,"1,001-5,000",47437
357,86441,2354,51,19.53,24.12,11-100,395,"11-1,000",26591
358,86442,33895,4071,27.17,48.51,Greater Than 1000,7922,"5,001-10,000",39600
359,86443,0,1-10,4,5,1-10,1-10,1-10,-
